"method_id","module"
"bartletttest","ANOVA"
"dunnettttest","ANOVA"
"levenetest","ANOVA"
"lsdttest","ANOVA"
"onefactoranova","ANOVA"
"snkqtest","ANOVA"
"threewayclassificationanova","ANOVA"
"twostagecrossoveranova","ANOVA"
"twowayanovawithfactorialdesign","ANOVA"
"twowayclassificationanova","ANOVA"
"appraisalratiostudies","Appraisal"
"chisquaretest","ChiSquare"
"chmchisquaretest","ChiSquare"
"fisherschisquaretest","ChiSquare"
"mcnemartest","ChiSquare"
"bos","CommutabilityAndStability"
"certifiedvalue","CommutabilityAndStability"
"css","CommutabilityAndStability"
"csu","CommutabilityAndStability"
"fts","CommutabilityAndStability"
"lts","CommutabilityAndStability"
"rts","CommutabilityAndStability"
"ss","CommutabilityAndStability"
"ucv","CommutabilityAndStability"
"ufh","CommutabilityAndStability"
"arithmeticmeandirect","Descriptive"
"arithmeticmeanfrequency","Descriptive"
"coefficientofvariaition","Descriptive"
"dynamicseries","Descriptive"
"frequencydistribution","Descriptive"
"geometricmeandirect","Descriptive"
"geometricmeanfrequency","Descriptive"
"median","Descriptive"
"medianfrequency","Descriptive"
"percentiledirect","Descriptive"
"percentilefrequency","Descriptive"
"range","Descriptive"
"referencerangend","Descriptive"
"referencerangep","Descriptive"
"relative","Descriptive"
"samplesizecategoricalonesample","Descriptive"
"samplesizecategoricaltig","Descriptive"
"samplesizecategoricaltps","Descriptive"
"samplesizecontinuousonesample","Descriptive"
"samplesizecontinuoustis","Descriptive"
"samplesizecontinuoustps","Descriptive"
"standardized","Descriptive"
"standardizedindirect","Descriptive"
"standardnormaldistribution","Descriptive"
"variance","Descriptive"
"variancefrequency","Descriptive"
"binomialdistributionprobability","DiscreteDistribution"
"clusteringinfamilies","DiscreteDistribution"
"goftpd","DiscreteDistribution"
"grouptest","DiscreteDistribution"
"iepm","DiscreteDistribution"
"iepp","DiscreteDistribution"
"peofnbd","DiscreteDistribution"
"smvspm","DiscreteDistribution"
"smvssm","DiscreteDistribution"
"smvssmnb","DiscreteDistribution"
"spvspp","DiscreteDistribution"
"spvssp","DiscreteDistribution"
"dynamictable","DynamicTable"
"cipopulationmean","Estimation"
"citwopopulationmeansdifference","Estimation"
"cochrancoxttest","Estimation"
"ftest","Estimation"
"normalitytestad","Estimation"
"normalitytestdk","Estimation"
"normalitytestdo","Estimation"
"normalitytestds","Estimation"
"normalitytestep","Estimation"
"normalitytestks","Estimation"
"normalitytestmi","Estimation"
"normalitytestmoment","Estimation"
"normalitytests","Estimation"
"normalitytestsw","Estimation"
"onesamplettest","Estimation"
"pairedsamplettest","Estimation"
"ppplot","Estimation"
"qqplot","Estimation"
"satterthwaitettest","Estimation"
"sem","Estimation"
"tdistribution","Estimation"
"twosamplettestepv","Estimation"
"welchttest","Estimation"
"mincrash","MinCrash"
"friedmanmtest","NonparametricTest"
"kruskalwallishtestformultipleindependentsamples","NonparametricTest"
"kruskalwallishtestformultiplesamplesfrequency","NonparametricTest"
"nemenyitestformultipleindependentsamples","NonparametricTest"
"wilcoxonsignedranktestforpairedsamplefrequency","NonparametricTest"
"wilcoxonsignedranktestforpairedsamples","NonparametricTest"
"wilcoxonsignedranktestforsinglesample","NonparametricTest"
"wilcoxonsignedranktestfortwoindependentsamples","NonparametricTest"
"homogeneity","Proficiency"
"accuracyevaluation","ReferenceMaterial"
"carryover","ReferenceMaterial"
"characterizinginterferenceeffects","ReferenceMaterial"
"communtabilityep30abias","ReferenceMaterial"
"commutabilityep14a3","ReferenceMaterial"
"commutabilityep30aregression","ReferenceMaterial"
"commutabilityifcc","ReferenceMaterial"
"estimatingbiasfromdifferenceplot","ReferenceMaterial"
"fittingalinetoscatterplots","ReferenceMaterial"
"interferencescreeningtesting","ReferenceMaterial"
"linearity","ReferenceMaterial"
"precisionevaluation","ReferenceMaterial"
"randomsampling","ReferenceMaterial"
"relativeequivlence","ReferenceMaterial"
"samplesizeforist","ReferenceMaterial"
"sampling","ReferenceMaterial"
"stability","ReferenceMaterial"
"stocking","ReferenceMaterial"
"tostsamplesize","ReferenceMaterial"
"coefficientoflinecorrelation","Regression"
"comparisonoftworegressionlines","Regression"
"linearregression","Regression"
"spearmanrankcorrelation","Regression"
"ubb","YYT1709"
"uchar","YYT1709"
"us","YYT1709"
