csid,csx1,csy1,csx2,csy2,rmid,rmp,rmx1,rmy1,rmx2,rmy2
CS01,9.513606377277718,10.436326000890304,9.340918969153037,9.879176413758678,,,,,,
CS02,13.670762736124669,13.46103008323132,13.795391003127182,13.455736131265434,,,,,,
CS03,16.15734942852309,17.354179486582602,16.737232519535844,17.4734405819836,,,,,,
CS04,18.221162174058893,20.113747984411667,17.889203760696102,19.47528457431906,,,,,,
CS05,22.8980062382846,22.80045607048867,23.143381356348186,22.67341722210984,,,,,,
CS06,27.085428133992316,27.40336923133959,27.05582947288983,27.1599168712868,,,,,,
CS07,28.971226251016592,29.695396698167027,28.17127704655063,30.05869297512825,,,,,,
CS08,32.02284070743066,32.46725602358603,32.216032679496415,32.55600740391487,,,,,,
CS09,34.2028424781094,38.0314157733057,34.46845414980183,37.53309304929576,,,,,,
CS10,39.99659217493838,40.659909877687376,40.784143803599825,40.53245030706724,,,,,,
CS11,40.62113674108214,45.898842392011005,40.76504390216685,46.19731080616684,,,,,,
CS12,47.88510410009565,46.40150644136004,46.7951604719917,47.071657986695605,,,,,,
CS13,47.08707161309276,47.900267438476185,47.1095646934802,47.220569255552185,,,,,,
CS14,52.24791328092498,50.98309646265871,52.10337044395001,52.07499646965075,,,,,,
CS15,54.74375730628196,57.98402055337102,54.64821770190652,57.414437187745115,,,,,,
CS16,55.37812668599135,63.23162925205932,55.3121660981421,63.38577820495773,,,,,,
CS17,64.07647663891711,59.77416211007657,63.828330301248336,59.53298912637598,,,,,,
CS18,61.66884501951472,65.04916714207697,62.141275231120844,65.38264837291939,,,,,,
CS19,65.50884158979085,68.3280365235297,65.50649214407196,68.30041897872422,,,,,,
CS20,65.31756100947253,71.6492763072095,65.37610255315313,71.47592210629354,,,,,,
CS21,78.00234136690497,72.58801972508955,77.99829045543325,72.64262600545077,,,,,,
CS22,76.56757257390313,74.71907593905775,77.15827695218186,74.25248379513057,,,,,,
CS23,81.93942891088363,81.37395180145852,82.31544320356427,82.0430684350842,,,,,,
CS24,88.46735851362537,85.87721221150369,88.12459944556424,85.95160658872324,,,,,,
CS25,85.83084336270652,90.20772784210608,85.93156613696442,90.14284627385989,,,,,,
,,,,,RM01,1.0,14.848131612243572,14.79775943331778,14.704649982468654,14.497840037106574
,,,,,RM02,2.0,30.18116866187317,30.468848401343624,29.51755342545814,30.641093580542382
,,,,,RM03,3.0,50.16631505033886,51.46932166570008,49.18455771298662,51.62223572041781
,,,,,RM04,4.0,69.28555245976776,72.1377586518618,69.56001984914305,71.82787815946237
,,,,,RM05,5.0,87.95408417434346,84.34592599933403,88.12293504868093,84.56044632651965
